Task,Model,Dataset,Accuracy,F1
GroupSize_8,Light gbm,helpsteer3,0.5762376237623762,0.5265486725663717
GroupSize_8,Logistic Regression,antique,0.6016260162601627,0.6161879895561357
GroupSize_8,Random Forest,antique,0.6056910569105691,0.6235446313065977
GroupSize_8,Light gbm,antique,0.6016260162601627,0.6161879895561357
GroupSize_8,Logistic Regression,neurips,0.9343163538873994,0.9300998573466477
GroupSize_8,Random Forest,neurips,0.9785522788203753,0.979002624671916
GroupSize_8,Light gbm,neurips,0.9343163538873994,0.9300998573466477
GroupSize_16,Logistic Regression,helpsteer2,1.0,1.0
GroupSize_16,Random Forest,helpsteer2,0.9692307692307692,0.9682539682539683
GroupSize_16,Light gbm,helpsteer2,1.0,1.0
GroupSize_16,Logistic Regression,helpsteer3,0.6047430830039525,0.5098039215686274
GroupSize_16,Random Forest,helpsteer3,0.6521739130434783,0.6811594202898551
GroupSize_16,Light gbm,helpsteer3,0.6047430830039525,0.5098039215686274
GroupSize_16,Logistic Regression,antique,0.6135135135135135,0.6323907455012854
GroupSize_16,Random Forest,antique,0.6297297297297297,0.6478149100257069
GroupSize_16,Light gbm,antique,0.6135135135135135,0.6323907455012854
GroupSize_16,Logistic Regression,neurips,0.9812834224598931,0.9809264305177112
GroupSize_16,Random Forest,neurips,0.9598930481283422,0.961439588688946
GroupSize_16,Light gbm,neurips,0.9812834224598931,0.9809264305177112
